occupation,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
Exec-managerial,White,Male,0,2392,40,United-States,>50K
Adm-clerical,White,Male,0,2377,45,United-States,<=50K
Prof-specialty,White,Male,0,2377,60,United-States,>50K
Adm-clerical,White,Female,0,2377,40,United-States,>50K
Prof-specialty,White,Male,0,2377,60,United-States,<=50K
Craft-repair,White,Male,0,2377,12,United-States,>50K
Adm-clerical,Black,Female,0,2377,20,United-States,<=50K
Exec-managerial,White,Male,0,2377,40,United-States,<=50K
Sales,White,Male,0,2377,40,United-States,<=50K
Exec-managerial,White,Male,0,2377,26,United-States,>50K
Sales,White,Male,0,2377,25,United-States,>50K
Exec-managerial,White,Male,0,2377,45,United-States,>50K
Sales,White,Male,0,2377,55,United-States,>50K
Prof-specialty,White,Male,0,2377,42,?,>50K
?,White,Male,0,2377,40,United-States,>50K
Sales,Black,Male,0,2377,40,United-States,<=50K
Craft-repair,White,Male,0,2377,50,United-States,<=50K
?,White,Male,0,2377,35,United-States,>50K
Exec-managerial,White,Male,0,2377,48,United-States,<=50K
Craft-repair,White,Male,0,2377,40,United-States,<=50K
Exec-managerial,White,Male,0,2377,50,United-States,>50K
Farming-fishing,White,Male,0,2352,50,United-States,<=50K
Farming-fishing,White,Male,0,2352,65,United-States,<=50K
Craft-repair,White,Female,0,2339,45,United-States,<=50K
Prof-specialty,White,Male,0,2339,55,United-States,<=50K
Farming-fishing,White,Male,0,2339,40,United-States,<=50K
Handlers-cleaners,Black,Male,0,2339,40,United-States,<=50K
Prof-specialty,White,Female,0,2339,40,United-States,<=50K
Exec-managerial,White,Male,0,2339,50,United-States,<=50K
Machine-op-inspct,Asian-Pac-Islander,Male,0,2339,40,?,<=50K
Prof-specialty,White,Female,0,2339,35,United-States,<=50K
Adm-clerical,Black,Female,0,2339,45,?,<=50K
Protective-serv,Black,Female,0,2339,40,United-States,<=50K
Exec-managerial,White,Male,0,2339,40,United-States,<=50K
?,White,Female,0,2339,36,United-States,<=50K
Sales,White,Female,0,2339,60,United-States,<=50K
Craft-repair,White,Male,0,2339,40,United-States,<=50K
Adm-clerical,Black,Female,0,2339,40,Trinadad&Tobago,<=50K
Prof-specialty,White,Male,0,2339,40,Canada,<=50K
Other-service,White,Female,0,2339,35,United-States,<=50K
Prof-specialty,White,Male,0,2282,40,United-States,>50K
Craft-repair,White,Male,0,2267,40,United-States,<=50K
Machine-op-inspct,White,Male,0,2267,40,United-States,<=50K
Prof-specialty,White,Female,0,2267,40,United-States,<=50K
Adm-clerical,White,Male,0,2258,40,United-States,<=50K
Farming-fishing,White,Male,0,2258,10,United-States,<=50K
Craft-repair,White,Male,0,2258,84,United-States,<=50K
Sales,Asian-Pac-Islander,Male,0,2258,40,South,<=50K
Tech-support,Asian-Pac-Islander,Female,0,2258,48,Philippines,<=50K
Machine-op-inspct,White,Male,0,2258,55,United-States,>50K
Adm-clerical,White,Male,0,2258,38,United-States,>50K
Exec-managerial,White,Female,0,2258,45,United-States,>50K
Adm-clerical,White,Male,0,2258,40,United-States,<=50K
Craft-repair,White,Male,0,2258,42,United-States,>50K
Exec-managerial,White,Male,0,2258,40,United-States,>50K
Exec-managerial,White,Male,0,2258,45,United-States,>50K
Craft-repair,White,Male,0,2258,50,United-States,<=50K
Prof-specialty,White,Female,0,2258,40,United-States,>50K
Prof-specialty,White,Male,0,2258,50,United-States,<=50K
Craft-repair,White,Male,0,2258,42,United-States,<=50K
Prof-specialty,White,Female,0,2258,60,United-States,<=50K
Adm-clerical,White,Female,0,2258,38,United-States,>50K
Exec-managerial,White,Male,0,2258,70,United-States,<=50K
Tech-support,White,Male,0,2258,40,United-States,>50K
Exec-managerial,White,Female,0,2258,50,United-States,>50K
Sales,White,Male,0,2258,60,United-States,<=50K
Farming-fishing,White,Male,0,2258,62,United-States,>50K
Farming-fishing,White,Male,0,2258,44,United-States,>50K
Exec-managerial,White,Female,0,2258,40,United-States,>50K
Exec-managerial,White,Male,0,2246,45,United-States,>50K
Prof-specialty,White,Female,0,2246,40,United-States,>50K
Exec-managerial,White,Male,0,2246,40,United-States,>50K
Exec-managerial,White,Male,0,2246,8,United-States,>50K
Prof-specialty,White,Male,0,2246,40,United-States,>50K
Prof-specialty,White,Male,0,2246,28,United-States,>50K
Machine-op-inspct,White,Female,0,2238,40,United-States,<=50K
Adm-clerical,White,Female,0,2238,35,United-States,<=50K
Adm-clerical,White,Male,0,2231,40,United-States,>50K
Handlers-cleaners,White,Male,0,2231,40,United-States,>50K
Protective-serv,White,Male,0,2231,40,United-States,>50K
Other-service,Black,Male,0,2206,40,United-States,<=50K
Adm-clerical,White,Female,0,2206,30,United-States,<=50K
Adm-clerical,White,Female,0,2206,59,Canada,<=50K
?,White,Female,0,2206,10,United-States,<=50K
Exec-managerial,White,Female,0,2206,5,United-States,<=50K
Prof-specialty,Black,Female,0,2206,25,United-States,<=50K
Adm-clerical,White,Male,0,2205,24,United-States,<=50K
Machine-op-inspct,White,Male,0,2205,35,United-States,<=50K
Adm-clerical,White,Female,0,2205,40,United-States,<=50K
Other-service,White,Female,0,2205,18,United-States,<=50K
Craft-repair,White,Male,0,2205,40,United-States,<=50K
Other-service,Black,Female,0,2205,40,United-States,<=50K
Machine-op-inspct,White,Female,0,2205,40,Holand-Netherlands,<=50K
Handlers-cleaners,Black,Male,0,2205,40,United-States,<=50K
?,White,Female,0,2205,40,United-States,<=50K
Exec-managerial,Asian-Pac-Islander,Male,0,2201,60,India,>50K
Craft-repair,White,Male,0,2179,40,United-States,<=50K
Handlers-cleaners,Other,Male,0,2179,40,Puerto-Rico,<=50K
Sales,Other,Male,0,2179,84,Mexico,<=50K
Craft-repair,White,Male,0,2179,40,United-States,<=50K
Transport-moving,White,Male,0,2179,18,United-States,<=50K
Exec-managerial,White,Male,0,2179,40,United-States,<=50K
Farming-fishing,White,Female,0,2179,12,United-States,<=50K
Transport-moving,White,Male,0,2179,45,United-States,<=50K
Adm-clerical,White,Female,0,2179,40,United-States,<=50K
Sales,White,Male,0,2179,52,United-States,<=50K
Machine-op-inspct,White,Male,0,2179,40,United-States,<=50K
Sales,White,Male,0,2179,50,Mexico,<=50K
?,White,Male,0,2179,45,United-States,<=50K
Handlers-cleaners,White,Male,0,2179,40,United-States,<=50K
Transport-moving,Black,Male,0,2179,40,United-States,<=50K
?,White,Male,0,2174,40,United-States,>50K
Exec-managerial,White,Male,0,2174,10,United-States,>50K
Handlers-cleaners,White,Male,0,2174,40,United-States,>50K
Prof-specialty,White,Male,0,2174,50,United-States,>50K
Adm-clerical,White,Male,0,2174,40,United-States,>50K
Exec-managerial,Black,Male,0,2174,40,United-States,>50K
Prof-specialty,White,Male,0,2174,50,United-States,>50K
?,Asian-Pac-Islander,Male,0,2163,25,South,<=50K
Prof-specialty,White,Male,0,2149,40,United-States,<=50K
Sales,White,Male,0,2149,20,United-States,<=50K
Machine-op-inspct,Asian-Pac-Islander,Female,0,2129,72,?,<=50K
Craft-repair,White,Male,0,2129,55,United-States,<=50K
Craft-repair,White,Male,0,2129,40,United-States,<=50K
Adm-clerical,Asian-Pac-Islander,Male,0,2080,40,Philippines,<=50K
Prof-specialty,Asian-Pac-Islander,Male,0,2057,60,China,<=50K
Transport-moving,White,Male,0,2057,40,United-States,<=50K
Prof-specialty,White,Female,0,2057,60,Canada,<=50K
Craft-repair,White,Male,0,2057,40,United-States,<=50K
Adm-clerical,White,Female,0,2057,20,United-States,<=50K
Adm-clerical,White,Female,0,2057,40,United-States,<=50K
Craft-repair,White,Male,0,2051,60,United-States,<=50K
Craft-repair,White,Male,0,2051,45,United-States,<=50K
Adm-clerical,White,Male,0,2051,40,United-States,<=50K
Transport-moving,White,Male,0,2051,50,United-States,<=50K
Craft-repair,White,Male,0,2051,40,United-States,<=50K
Farming-fishing,White,Male,0,2051,20,United-States,<=50K
Adm-clerical,White,Male,0,2051,40,United-States,<=50K
Transport-moving,White,Male,0,2051,40,United-States,<=50K
Craft-repair,White,Male,0,2051,40,United-States,<=50K
Prof-specialty,White,Male,0,2051,40,United-States,<=50K
Sales,White,Male,0,2051,57,United-States,<=50K
Machine-op-inspct,White,Male,0,2051,38,United-States,<=50K
Craft-repair,White,Male,0,2051,40,United-States,<=50K
Craft-repair,White,Male,0,2051,44,United-States,<=50K
Machine-op-inspct,White,Male,0,2051,40,United-States,<=50K
Tech-support,White,Male,0,2051,40,United-States,<=50K
Craft-repair,White,Male,0,2051,40,United-States,<=50K
Transport-moving,White,Male,0,2051,55,United-States,<=50K
Craft-repair,White,Male,0,2051,40,Poland,<=50K
Craft-repair,White,Male,0,2051,40,United-States,<=50K
Craft-repair,White,Male,0,2051,20,United-States,<=50K
Transport-moving,White,Male,0,2042,40,United-States,<=50K
Handlers-cleaners,White,Male,0,2042,40,United-States,<=50K
Sales,White,Male,0,2042,50,United-States,<=50K
Handlers-cleaners,White,Male,0,2042,40,United-States,<=50K
Craft-repair,White,Male,0,2042,48,United-States,<=50K
Tech-support,White,Male,0,2042,10,United-States,<=50K
Farming-fishing,White,Male,0,2042,40,United-States,<=50K
Craft-repair,White,Male,0,2042,30,United-States,<=50K
Protective-serv,White,Male,0,2042,34,United-States,<=50K
Craft-repair,White,Male,0,2002,40,United-States,<=50K
Other-service,White,Male,0,2002,45,United-States,<=50K
Handlers-cleaners,White,Male,0,2002,40,United-States,<=50K
Transport-moving,White,Male,0,2002,40,United-States,<=50K
Prof-specialty,Asian-Pac-Islander,Male,0,2002,40,Iran,<=50K
Craft-repair,White,Male,0,2002,40,United-States,<=50K
Prof-specialty,White,Male,0,2002,42,United-States,<=50K
Protective-serv,White,Male,0,2002,40,England,<=50K
Craft-repair,White,Male,0,2002,40,United-States,<=50K
Exec-managerial,White,Male,0,2002,50,United-States,<=50K
Prof-specialty,White,Male,0,2002,30,United-States,<=50K
?,White,Male,0,2002,40,United-States,<=50K
Craft-repair,White,Male,0,2002,60,United-States,<=50K
Craft-repair,White,Female,0,2002,40,United-States,<=50K
Sales,White,Male,0,2002,55,United-States,<=50K
Prof-specialty,White,Male,0,2002,40,United-States,<=50K
Transport-moving,White,Male,0,2002,40,United-States,<=50K
Exec-managerial,White,Male,0,2002,40,United-States,<=50K
Transport-moving,White,Male,0,2002,40,United-States,<=50K
Sales,White,Male,0,2002,45,United-States,<=50K
Transport-moving,White,Male,0,2002,45,United-States,<=50K
?,White,Male,0,2001,40,United-States,<=50K
Adm-clerical,White,Male,0,2001,42,United-States,<=50K
Other-service,White,Male,0,2001,40,United-States,<=50K
Adm-clerical,White,Male,0,2001,60,United-States,<=50K
Craft-repair,White,Male,0,2001,40,United-States,<=50K
Handlers-cleaners,White,Male,0,2001,40,United-States,<=50K
Tech-support,White,Female,0,2001,30,United-States,<=50K
Other-service,White,Male,0,2001,40,United-States,<=50K
Adm-clerical,Black,Male,0,2001,40,United-States,<=50K
?,Black,Female,0,2001,40,United-States,<=50K
Craft-repair,White,Male,0,2001,50,United-States,<=50K
Craft-repair,White,Male,0,2001,35,United-States,<=50K
Craft-repair,White,Male,0,2001,50,United-States,<=50K
Adm-clerical,White,Female,0,2001,40,United-States,<=50K
Adm-clerical,White,Female,0,2001,37,United-States,<=50K
Transport-moving,Black,Male,0,2001,65,United-States,<=50K
Other-service,White,Female,0,2001,40,United-States,<=50K
Machine-op-inspct,Black,Male,0,2001,40,United-States,<=50K
Adm-clerical,White,Male,0,2001,40,United-States,<=50K
?,White,Male,0,2001,45,United-States,<=50K
Adm-clerical,White,Female,0,2001,40,United-States,<=50K
Other-service,White,Male,0,2001,40,United-States,<=50K
Farming-fishing,White,Male,0,2001,40,United-States,<=50K
Other-service,Black,Female,0,2001,40,United-States,<=50K
Other-service,White,Male,0,1980,40,United-States,<=50K
Craft-repair,Asian-Pac-Islander,Male,0,1980,40,Philippines,<=50K
Sales,White,Female,0,1980,65,United-States,<=50K
Exec-managerial,White,Male,0,1980,60,United-States,<=50K
Craft-repair,Black,Male,0,1980,40,United-States,<=50K
Adm-clerical,White,Female,0,1980,40,United-States,<=50K
Transport-moving,White,Male,0,1980,46,United-States,<=50K
Exec-managerial,White,Male,0,1980,45,England,<=50K
Sales,White,Male,0,1980,56,United-States,<=50K
Tech-support,White,Female,0,1980,35,United-States,<=50K
Adm-clerical,White,Female,0,1980,40,United-States,<=50K
Other-service,Black,Female,0,1980,40,United-States,<=50K
Adm-clerical,White,Female,0,1980,45,United-States,<=50K
Machine-op-inspct,White,Male,0,1980,48,United-States,<=50K
Transport-moving,White,Male,0,1980,60,United-States,<=50K
Sales,White,Female,0,1980,40,United-States,<=50K
Tech-support,Amer-Indian-Eskimo,Male,0,1980,40,United-States,<=50K
Adm-clerical,White,Male,0,1980,40,United-States,<=50K
Transport-moving,White,Male,0,1980,40,United-States,<=50K
Exec-managerial,White,Female,0,1980,40,United-States,<=50K
Other-service,White,Male,0,1980,40,United-States,<=50K
Adm-clerical,White,Male,0,1980,40,United-States,<=50K
Sales,White,Male,0,1980,40,United-States,<=50K
Sales,White,Male,0,1977,40,United-States,>50K
Tech-support,White,Male,0,1977,60,United-States,>50K
Exec-managerial,White,Male,0,1977,65,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Craft-repair,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Female,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,80,United-States,>50K
Sales,White,Female,0,1977,25,United-States,>50K
Prof-specialty,White,Female,0,1977,40,United-States,>50K
Sales,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,55,United-States,>50K
Exec-managerial,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Tech-support,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,48,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Sales,White,Male,0,1977,40,United-States,>50K
Exec-managerial,Black,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Craft-repair,White,Male,0,1977,44,United-States,>50K
Exec-managerial,White,Male,0,1977,60,United-States,>50K
Sales,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Female,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Prof-specialty,Asian-Pac-Islander,Male,0,1977,40,China,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,70,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Transport-moving,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Prof-specialty,Black,Female,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Prof-specialty,Asian-Pac-Islander,Male,0,1977,32,China,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Sales,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Male,0,1977,70,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Sales,White,Male,0,1977,40,United-States,>50K
Handlers-cleaners,White,Male,0,1977,60,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,41,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Prof-specialty,Amer-Indian-Eskimo,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Protective-serv,White,Male,0,1977,40,United-States,>50K
Tech-support,White,Male,0,1977,20,United-States,>50K
Sales,White,Male,0,1977,99,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Tech-support,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,50,Germany,>50K
Exec-managerial,Black,Male,0,1977,50,United-States,>50K
Tech-support,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,45,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Craft-repair,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Female,0,1977,30,United-States,>50K
Tech-support,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Prof-specialty,Black,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Machine-op-inspct,White,Male,0,1977,52,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,60,?,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Sales,White,Male,0,1977,35,United-States,>50K
Exec-managerial,White,Male,0,1977,55,United-States,>50K
Prof-specialty,White,Male,0,1977,35,United-States,>50K
Prof-specialty,White,Female,0,1977,24,United-States,>50K
Craft-repair,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,60,United-States,>50K
Prof-specialty,White,Female,0,1977,35,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,98,United-States,>50K
Sales,Asian-Pac-Islander,Male,0,1977,50,South,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,48,United-States,>50K
Exec-managerial,White,Male,0,1977,60,Italy,>50K
Transport-moving,White,Male,0,1977,45,Philippines,>50K
Exec-managerial,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Exec-managerial,White,Male,0,1977,60,United-States,>50K
Sales,White,Male,0,1977,45,United-States,>50K
Sales,White,Male,0,1977,45,United-States,>50K
Exec-managerial,White,Male,0,1977,40,United-States,>50K
Craft-repair,White,Female,0,1977,35,?,>50K
Exec-managerial,White,Male,0,1977,43,United-States,>50K
Prof-specialty,White,Male,0,1977,45,United-States,>50K
Farming-fishing,White,Male,0,1977,65,United-States,>50K
Prof-specialty,White,Male,0,1977,60,United-States,>50K
Exec-managerial,White,Male,0,1977,62,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Adm-clerical,Black,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Female,0,1977,15,United-States,>50K
Exec-managerial,Black,Male,0,1977,40,United-States,>50K
Craft-repair,White,Male,0,1977,35,United-States,>50K
Prof-specialty,White,Male,0,1977,55,United-States,>50K
Exec-managerial,White,Female,0,1977,30,United-States,>50K
Prof-specialty,White,Male,0,1977,15,United-States,>50K
Prof-specialty,White,Male,0,1977,55,United-States,>50K
Prof-specialty,White,Male,0,1977,70,United-States,>50K
Exec-managerial,White,Male,0,1977,60,United-States,>50K
Sales,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Craft-repair,White,Male,0,1977,60,United-States,>50K
Sales,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Female,0,1977,20,United-States,>50K
Craft-repair,White,Male,0,1977,63,?,>50K
Sales,White,Male,0,1977,60,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Female,0,1977,24,United-States,>50K
Sales,White,Male,0,1977,40,United-States,>50K
Prof-specialty,White,Male,0,1977,99,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Prof-specialty,White,Male,0,1977,55,?,>50K
Adm-clerical,White,Male,0,1977,40,Japan,>50K
Exec-managerial,Asian-Pac-Islander,Male,0,1977,60,Taiwan,>50K
Exec-managerial,White,Female,0,1977,50,United-States,>50K
Tech-support,White,Male,0,1977,40,United-States,>50K
Craft-repair,White,Male,0,1977,45,United-States,>50K
Prof-specialty,White,Male,0,1977,45,United-States,>50K
Exec-managerial,White,Male,0,1977,50,United-States,>50K
Exec-managerial,White,Male,0,1977,43,United-States,>50K
Exec-managerial,White,Female,0,1977,35,United-States,>50K
Exec-managerial,White,Male,0,1977,55,United-States,>50K
Exec-managerial,White,Male,0,1977,48,United-States,>50K
